game_id,side,speed,num_moves,result,panic_score,time_per_move,capture_rate,sacrifice_rate,check_rate,early_aggression,castle_move,piece_activity,avg_material_diff,gambit_tendency,sharp_opening,decisive_game,opening_name,opening_eco,status,cluster_kmeans,cluster_gmm,cluster_dbscan,cluster_hierarchical,gmm_prob_cluster_0,gmm_prob_cluster_1
zUxV8GLr,white,bullet,67,1,2.3578431372549016,102.36363636363636,0.2647058823529412,0.1470588235294117,0.088235294117647,0,7.0,6,0.1470588235294117,0,1,1,"King's Indian Defense: Orthodox Variation, Positional Defense, Closed Line",E94,resign,1,1,-1,0,0.0,1.0
UEHX6oFD,black,bullet,106,0,0.6633165829145728,103.07692307692308,0.2830188679245283,0.1132075471698113,0.0377358490566037,1,4.0,6,0.4339622641509434,0,0,0,King's Indian Attack: Symmetrical Defense,A05,draw,0,1,-1,1,0.0,1.0
fMIf8O0H,black,bullet,30,1,10.645833333333334,61.642857142857146,0.1333333333333333,0.0,0.0666666666666666,1,4.0,6,0.2666666666666666,0,0,1,Zukertort Opening: Kingside Fianchetto,A04,resign,1,0,-1,0,1.0,2.1486226333188014e-125
qqcAlGZe,white,bullet,101,1,0.9430379746835444,96.16,0.2745098039215686,0.0392156862745098,0.0196078431372549,1,5.0,5,0.6862745098039216,0,0,1,Hungarian Opening,A00,resign,1,0,-1,0,1.0,4.730394576252393e-21
OK63uLhA,black,bullet,76,1,6.689655172413794,100.75675675675676,0.2894736842105263,0.1578947368421052,0.1578947368421052,1,5.0,4,0.4736842105263157,0,0,1,Zukertort Opening: Kingside Fianchetto,A04,mate,1,0,-1,0,1.0,5.233932891478743e-53
EOwvdMyl,black,bullet,56,1,4.754310344827586,83.22222222222223,0.25,0.1071428571428571,0.1785714285714285,1,5.0,5,0.4642857142857143,0,0,1,Bird Opening,A02,mate,1,0,-1,0,1.0,1.3166729982606247e-38
U7vJv1HU,black,bullet,73,-1,2.1828703703703702,79.52777777777777,0.1944444444444444,0.0277777777777777,0.0277777777777777,0,5.0,4,0.0555555555555555,0,0,1,"King's Indian Attack, with e6",A07,resign,1,0,-1,0,1.0,3.640804501202602e-29
oPMO817E,white,bullet,70,-1,2.1527777777777777,71.37142857142857,0.2,0.0285714285714285,0.0285714285714285,1,8.0,7,-0.1428571428571428,0,0,1,Hungarian Opening: Reversed Alekhine,A00,resign,1,0,-1,0,1.0,1.8492157727449936e-29
ai4mXm5Q,black,bullet,86,1,0.8265765765765766,93.47619047619048,0.2093023255813953,0.0465116279069767,0.0,2,16.0,5,1.0930232558139534,0,0,1,English Opening: Great Snake Variation,A10,resign,1,0,-1,0,1.0,6.160749033391429e-22
MoasISt2,white,bullet,83,1,2.450284090909091,102.5609756097561,0.2619047619047619,0.0,0.0238095238095238,2,10.0,5,0.6428571428571429,0,0,1,"Grünfeld Defense: Exchange Variation, Spassky Variation",D88,resign,1,0,-1,0,1.0,3.477625845636504e-22
