PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,ThemeList
0dPzt,5k2/1pp3p1/4qRQ1/p3N3/n7/7P/1P4P1/7K b - - 0 32,e6f6 e5d7 f8e7 d7f6,1027,88,93,1465,crushing endgame fork short,https://lichess.org/qPp7qz0Q/black#64,,"['crushing', 'endgame', 'fork', 'short']"
0tJ8q,7k/p1p3pp/2p2q2/8/4R3/PQP3P1/5PKP/4r3 b - - 0 29,e1e4 b3b8 e4e8 b8e8 f6f8 e8f8,797,95,93,245,endgame long mate mateIn3,https://lichess.org/rlp8GZou/black#58,,"['endgame', 'long', 'mate', 'mateIn3']"
07sX1,6k1/5pp1/7p/4B1n1/2Q1P3/3P3P/5qPK/8 w - - 1 35,e5g3 g5f3 h2h1 f2f1,1011,85,81,560,endgame mate mateIn2 pin short,https://lichess.org/NPMFHwcf#69,,"['endgame', 'mate', 'mateIn2', 'pin', 'short']"
1CLTT,4r1k1/ppp3pp/2pbNr2/8/3p4/8/PPPB1qPP/R2QR2K w - - 4 15,e1e2 f2h4 e6f4 e8e2 d1e2 d6f4,2013,76,93,541,advantage long middlegame,https://lichess.org/r7SauZgs#29,Ruy_Lopez Ruy_Lopez_Schliemann_Defense,"['advantage', 'long', 'middlegame']"
2D9Mu,r6r/p2R1kp1/1p3p2/2p5/2P1P3/P1Q2Pq1/1B4P1/6K1 b - - 0 33,f7g6 d7g7 g6g7 c3f6 g7g8 f6h8,1372,118,33,49,attraction crushing endgame long sacrifice,https://lichess.org/N9PeVk4v/black#66,,"['attraction', 'crushing', 'endgame', 'long', 'sacrifice']"
4eaNA,r4rk1/3n1pp1/p2bp1b1/1p1p2Pp/3P3P/PBPq1N2/1P1N1P2/2RQK2R b K - 4 19,d6f4 b3c2 d3c2 c1c2,1656,89,63,37,crushing middlegame short trappedPiece,https://lichess.org/BEjvYbOL/black#38,Caro-Kann_Defense Caro-Kann_Defense_Hillbilly_Attack,"['crushing', 'middlegame', 'short', 'trappedPiece']"
4B72c,rnb1k2r/1pp1ppbp/p4np1/qN6/1P1N4/5P2/P1PP2PP/R1BQKB1R b KQkq - 0 8,a5b4 b5c7 e8f8 c2c3 b4c5 c7a8,2164,82,90,1579,advantage fork long opening,https://lichess.org/y2I4hxrJ/black#16,Scandinavian_Defense Scandinavian_Defense_Main_Line,"['advantage', 'fork', 'long', 'opening']"
54BCa,8/kp5p/p4Q2/2p1PP2/8/2qr4/6PP/5RK1 w - - 0 29,f6e6 c3d4 g1h1 d3d1 e6c4 d4c4,1514,75,96,1841,crushing endgame long,https://lichess.org/WhWITpIB#57,,"['crushing', 'endgame', 'long']"
3iUyF,r3k2r/ppp2ppp/2p1b2q/8/3bP3/3P1QP1/PPP1B2P/R2NKR2 b Qkq - 4 13,h6h2 f1h1 h2h1 f3h1,1431,77,78,126,advantage middlegame short trappedPiece,https://lichess.org/9l8IU1eu/black#26,Petrovs_Defense Petrovs_Defense_Stafford_Gambit,"['advantage', 'middlegame', 'short', 'trappedPiece']"
2IDd3,8/6p1/p1pk3p/1p3p2/1P1P1P2/P2K4/6PP/8 w - - 0 36,g2g3 d6d5 d3c3 d5e4,1554,77,93,667,crushing endgame pawnEndgame short zugzwang,https://lichess.org/Fz3IsGBQ#71,,"['crushing', 'endgame', 'pawnEndgame', 'short', 'zugzwang']"
4PYAM,2k5/p1p5/8/2N1b2p/8/5K2/r7/6R1 b - - 0 53,e5d4 g1g8,1056,98,95,77,endgame mate mateIn1 oneMove,https://lichess.org/c3haVe4m/black#106,,"['endgame', 'mate', 'mateIn1', 'oneMove']"
2ALd9,8/8/8/2r4p/6p1/P4kP1/1P1R1P2/5K2 w - - 2 51,f1e1 c5c1 d2d1 c1d1,1171,83,89,64,crushing endgame rookEndgame short,https://lichess.org/Lyy1AB3T#101,,"['crushing', 'endgame', 'rookEndgame', 'short']"
59nst,3R1rk1/1p2r1p1/p7/3Q4/1P6/P7/5qP1/7K b - - 3 33,e7f7 d8f8 g8f8 d5d8,1085,78,81,126,attraction endgame mate mateIn2 pin short,https://lichess.org/iT2kfNTR/black#66,,"['attraction', 'endgame', 'mate', 'mateIn2', 'pin', 'short']"
0uODm,rn5k/1pQ1b1pp/p3p1p1/7P/3Pq1P1/4Br2/PPP2P2/R3K2R b KQ - 2 17,e7g5 c7c8 g5d8 c8d8 f3f8 d8f8,911,86,76,56,kingsideAttack long mate mateIn3 middlegame,https://lichess.org/xR0cFkMP/black#34,Queens_Pawn_Game Queens_Pawn_Game_Colle_System,"['kingsideAttack', 'long', 'mate', 'mateIn3', 'middlegame']"
1hZLY,5r2/1p5k/5R1p/p1pbPp1P/Pb1p3R/5B2/1P3PK1/8 b - - 5 32,d5f3 g2f3 f8f6 e5f6,765,85,100,82,advantage endgame short,https://lichess.org/xpKavmeC/black#64,,"['advantage', 'endgame', 'short']"
2KehF,2r1q1k1/5p2/p3b1pp/1p4b1/3PQ3/1P1B4/PB4PP/4R1K1 b - - 1 29,e8c6 e4c6 c8c6 d4d5 c6d6 d5e6 d6d3 e6e7 g5e7 e1e7,2147,122,80,12,advancedPawn advantage middlegame veryLong,https://lichess.org/g9IOO8W7/black#58,,"['advancedPawn', 'advantage', 'middlegame', 'veryLong']"
0QVEM,8/2k5/1p6/p1p1K3/P1P5/1P6/8/8 b - - 4 44,c7c6 e5e6 c6c7 e6e7,1879,76,90,677,crushing defensiveMove endgame pawnEndgame short zugzwang,https://lichess.org/kt3LMDbZ/black#88,,"['crushing', 'defensiveMove', 'endgame', 'pawnEndgame', 'short', 'zugzwang']"
2ZxDt,r1b2rk1/ppp1npp1/3q3p/3PN2P/2P2p2/2P5/P3BPP1/R2Q1RK1 w - - 1 15,d1d4 e7f5 d4f4 f8e8,2197,91,91,1702,advantage middlegame short,https://lichess.org/stjR1vTY#29,Nimzowitsch_Defense Nimzowitsch_Defense_Kennedy_Variation,"['advantage', 'middlegame', 'short']"
1xPY0,1r4k1/p1Q2pb1/1p4pp/8/4q3/6P1/PP3P1P/3R2K1 b - - 1 26,e4b7 d1d8 b8d8 c7b7,1811,173,100,19,deflection endgame equality short,https://lichess.org/YYPWTtsL/black#52,,"['deflection', 'endgame', 'equality', 'short']"
1gSiY,r4rk1/2pn2pp/ppb5/3p1p2/3PpN1P/P1PBP3/2P1KPq1/1R1Q3R b - - 1 19,e4d3 c2d3 g2g4 f2f3 g4g3 h1h3 g3f4 e3f4,2168,79,91,1625,advantage middlegame trappedPiece veryLong,https://lichess.org/HSdyl3xv/black#38,Dutch_Defense Dutch_Defense_Other_variations,"['advantage', 'middlegame', 'trappedPiece', 'veryLong']"
3sTFp,7r/2p1kpp1/p3p1p1/Np2P1P1/4P3/2P3K1/PP5r/3R4 b - - 1 26,h2b2 a5c6 e7f8 d1d8,803,96,96,1738,endgame mate mateIn2 short,https://lichess.org/Qyrm3UrN/black#52,,"['endgame', 'mate', 'mateIn2', 'short']"
05O4F,1k1r1b1r/5ppp/2p1pn2/1B1P3q/Q5b1/4BN2/PP3PPP/4K2R b K - 0 15,h5d5 a4a7 b8c8 b5a6,1402,76,89,3507,mate mateIn2 middlegame queensideAttack short,https://lichess.org/qBxvC2ZD/black#30,Sicilian_Defense Sicilian_Defense_Alapin_Variation,"['mate', 'mateIn2', 'middlegame', 'queensideAttack', 'short']"
